longitude,latitude,Altitude(m),Precipitation(mm),Average Temperature (°„C),pH,TN(g/kg-1),AP (mg/kg-1),AK(mg/kg-1),SOC(%),Large-leaved variety,Medium-leaved variety,small-leaved variety,Years of planting,Replicates,mineral fertilizer,organic fertilizer,controlled-released fertilizer,mix fertilizer,N quantity(kg/y/hm2),P2O5 quantity(kg/y/hm2),K2O quantity(kg/y/hm2),organic fertilizer quantity(kg`y/hm2),Fresh Shoot Yield(kg/667m2)_MEAN
120.067,30.22,95,1488.5,17.42,4.4,1.2,91.68,218.56,1.07,0,1,0,25,3,0,1,0,0,0,0,0,7380,216.53
119.37,28.57,195,1484,17.71,4.31,12.6,174,288,1.68,0,1,0,12,3,1,0,0,0,310.68,102,163.2,0,199.61
113.37,23.15,33,1817.2,22.19,4.19,1.19,40.35,186,1.59,0,1,0,10,4,1,0,0,0,150,0,0,0,99.45
120.68,29.93,74,1300,16.4,3.98,0.17,182.6,227.34,0.28,0,1,0,18,3,1,0,0,0,120,80,100,0,84.74
121.59,29.67,70,1697.8,17.9,4.1,1.67,24,180.1,4.56,0,1,0,6,3,0,0,0,1,225,75,75,500,106.72
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,300,0,0,0,437.07
116.78,23.81,245,1475.9,21.4,4.31,1.14,47.3,201.42,1.98,0,1,0,3,3,1,0,0,0,459,144,146,0,281.1
117.93,27.66,524,1971.9,18.72,4.62,1.05,50.13,198.54,2.27,0,1,0,9,3,1,0,0,0,112.5,112.5,112.5,0,NaN
80.63,8.48,125,2373,25,4.8,0.6,45,216,1.46,0,0,1,3,3,1,0,0,0,270.16,36.08,100.32,0,505.69
106.79,22.33,332,1509.8,17.27,3.87,1.31,35.9,215.95,1.03,0,1,0,5,3,1,0,0,0,168.75,67.5,24.75,0,256.62
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,300,0,75,0,572.87
113.33,28.58,105,1330,17.5,6.3,1.13,NaN,NaN,1.32,1,0,0,3,3,0,0,1,0,225,0,0,0,382.4
121.59,29.67,70,1697.8,17.9,4.1,1.67,24,180.1,4.56,0,1,0,6,3,1,0,0,0,450,150,150,0,104.5
118.23,25.44,680,1574.63,18.49,4.4,1.22,14.4,196,2.15,1,0,0,7,3,0,0,0,1,270,120,48,3000,684.67
100.34,22.18,1100,1341,18.5,4.11,2.39,1009.5,258.5,5.51,1,0,0,9,3,1,0,0,0,350,166.7,166.7,0,191.87
118.23,25.44,680,1574.63,18.49,4.4,1.22,14.4,196,2.15,1,0,0,7,3,0,0,0,1,270,120,75,3000,772.33
113.37,23.16,34,1475.7,22.8,5.12,1.21,40.4,121.57,1.34,0,1,0,3,3,1,0,0,0,315,52.5,52.5,0,376.39
119.36,28.56,372,870.55,17.84,4.31,1.26,174,288,1.68,0,1,0,2,3,1,0,0,0,310.68,102,163.2,0,97.35
106.98,25.74,1060,1316.9,17.07,4.53,0.57,15,237,1.37,0,1,0,7,3,0,0,1,0,340.8,48,72,0,479.75
113.37,23.16,34,1475.7,22.8,5.12,1.21,40.4,121.57,1.34,0,1,0,3,3,1,0,0,0,255,93.75,210,0,392.2
109.72,32.32,600,1082.3,14.83,4.1,1.36,94.5,266,0.69,0,1,0,9,3,1,0,0,0,807.75,1056.29,932.02,0,165.93
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,150,150,0,0,565.2
113.31,28.53,50,1330,17.5,6.1,1.13,NaN,NaN,1.32,1,0,0,3,3,1,0,0,0,113,0,0,0,63.67
118.55,25.62,600,1800,18,3.38,3.69,NaN,NaN,5.92,0,1,0,10,3,0,1,0,0,0,0,0,6000,236.64
119.37,28.57,195,1484,17.84,4.31,12.6,174,288,1.68,0,1,0,12,3,1,0,0,0,155.34,51,81.6,0,87.79
107.09,26.22,1100,1265.4,15.59,4.63,0.98,40.5,246,2.42,0,1,0,20,3,0,0,1,0,340.8,48,72,0,863.56
119.41,35.45,35,991.3,17,5,1.2,105,218.7,2.02,0,1,0,10,3,1,0,0,0,45,0,0,0,263.93
109.72,32.32,600,1082.3,14.83,4.1,1.36,94.5,266,0.69,0,1,0,9,3,1,0,0,0,807.75,52.34,218.08,0,153.87
117.88,25.3,435,1577.2,20.85,4.1,1.53,69.2,206.2,1.98,0,1,0,10,3,1,0,0,0,420,420,420,0,150
106.79,22.34,135,1265.7,22.83,3.87,1.31,35.9,215.95,1.03,0,1,0,7,3,0,0,0,0,0,0,0,0,NaN
106.79,22.34,135,1265.7,22.83,3.87,1.31,35.9,215.95,1.03,0,1,0,7,3,1,0,0,0,60.75,67.5,67.5,0,NaN
107.36,28.4,1205,1174.7,13.78,4.99,3.16,17,202,3.6,0,1,0,5,3,0,0,0,0,0,0,0,0,67.15
120.52,29.74,484,1354.4,17.65,3.66,2.72,29.9,189.15,2.35,0,1,0,10,3,1,0,0,0,450,163.64,90.74,0,433.91
119.17,28.98,80,1602.6,17.1,4.23,1.09,124,217.5,3.07,0,1,0,14,3,1,0,0,0,617.25,608.25,366,0,264.27
119.37,28.57,195,1484,17.84,4.31,12.6,174,288,1.68,0,1,0,12,3,1,0,0,0,310.68,102,163.2,0,98.67
120.067,30.22,95,1705.4,17.08,4.4,1.2,91.68,218.56,1.07,0,1,0,25,3,0,1,0,0,0,0,0,7380,467.8
100.98,22.787,1320,1514,17.7,5.04,1.04,87,245,2,1,0,0,20,3,0,0,0,1,379.5,120,75,2250,426.65
118,25.01,224,1378.3,19.92,4.2,1.52,35.6,184,1.02,0,1,0,10,3,1,0,0,0,300,105,0,0,377.63
119.17,28.98,80,1602.6,17.1,4.23,1.09,124,217.5,3.07,0,1,0,14,3,1,0,0,0,472.5,157.5,270,0,324
119.95,28.44,74,1824.8,18.3,4.16,0.5,75.2,221.28,1.15,0,1,0,8,3,0,0,0,1,522,315,315,7500,116.8
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,450,75,150,0,604.33
120.84,30.09,10,1306.8,17.85,4.73,1.83,209.75,217,4.2,0,1,0,10,4,1,0,0,0,67.5,67.5,67.5,0,343.3
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,450,75,75,0,706.27
88.24,26.88,100,2000,13,4.86,0.85,41,146,1.78,1,0,0,20,3,1,0,0,0,73.2,17.1,13.9,0,99.37
119.95,27.37,91,1560.6,18.98,4.85,0.3,60.3,192,0.37,1,0,0,10,4,1,0,0,0,225,150,150,0,98
120.68,29.93,74,1300,16.4,3.98,0.17,182.6,227.34,0.28,0,1,0,18,3,1,0,0,0,700,80,100,0,93.48
120.68,29.93,74,1461,16.4,5.5,1.7,18.2,151.6,2.75,0,1,0,19,3,1,0,0,0,0,80,100,0,153.27
119.17,28.98,80,1602.6,17.1,4.23,1.09,124,217.5,3.07,0,1,0,14,3,1,0,0,0,818.25,660.75,297,0,287
119.43,32.53,7,1204,16,4.4,0.6,76.6,159.7,1.43,0,1,0,9,3,0,0,0,0,0,0,0,0,6.26
118.3,29.653,178,1477,16.4,5.29,1.72,31.5,193.28,0.87,1,0,0,6,3,1,0,0,0,300,100.5,124.5,0,NaN
114.32,30.48,25,1250.7,17.78,5.2,0.79,NaN,188.1,3.2,1,0,0,17,3,0,1,0,0,0,0,0,18009,172.86
120.067,30.22,95,1488.5,17.42,4.4,1.2,91.68,218.56,1.07,0,1,0,25,3,1,0,0,0,423,423,423,0,229.6
119.17,28.98,65,1839.8,18.24,4.67,2.89,59.3,195.84,4.89,0,1,0,16,3,1,0,0,0,298.8,90,135,0,NaN
113.78,23.16,0,1580.2,22.48,5.7,0.45,72,133,0.68,1,0,0,3,3,1,0,0,0,150,75,0,0,439.53
113.34,28.55,75,1993.6,16.71,4.8,0.88,91.68,210,0.84,0,1,0,10,3,1,0,0,0,450,9.76,8.7,0,NaN
100.98,22.787,1320,1514,17.7,5.04,1.04,87,245,2,1,0,0,20,3,0,0,0,1,759,192,105,2250,547.99
106.79,22.33,332,1509.8,17.27,3.87,1.31,35.9,215.95,1.03,0,1,0,5,3,1,0,0,0,0,40.5,40.5,0,213.84
107.36,28.4,1205,1174.7,13.78,4.99,3.16,17,202,3.6,0,1,0,5,3,1,0,0,0,172.5,54,81,0,113.92
119.17,35.3,125,863.1,18.6,5.41,1.12,48.7,258.3,1.25,0,1,0,3,3,0,0,0,0,0,0,0,0,144.23
